Date,Industry_01,Industry_02,Industry_03,Industry_04,Industry_05,Industry_06,Industry_07,Industry_08,Industry_09,Industry_10,Industry_11,Industry_12,Industry_13,Industry_14,Industry_15,Industry_16,Industry_17,Industry_18,Industry_19,Industry_20,Industry_21,Industry_22,Industry_23,Industry_24,Industry_25,Industry_26,Industry_27,Industry_28,Industry_29,Industry_30,Mkt_RF,Term_Spread,VIX
1/31/1991,11.94,10.87,7.72,10.95,3.42,6.25,15.78,10.16,6.05,11.91,12.74,6.68,7.56,7.07,10.49,1.57,7.98,13.17,8.54,4.84,3.03,5.65,5.98,5.21,5.6,8.68,7.69,15.73,10.82,4.73,7.19,1.84,27.42909091
2/28/1991,6.07,5.7,1.37,-1.55,1.2,4.14,4.62,6.24,-0.25,3.43,-0.78,0.52,-1.74,2.2,-0.55,0.24,-1.43,-3.67,1.32,1.72,2.3,4.64,-0.61,1.68,-1.78,3.13,9.38,9.72,5.83,0.44,2.66,1.98,21.59842105
3/31/1991,-0.89,-4.02,-3.48,-2.86,2.46,-1.45,1.5,-1.21,3.31,2.75,-1.22,-0.13,-2.65,0.97,-2.73,-0.57,0.35,6,2.39,-0.05,1.13,-0.78,-3.01,1.92,3.8,1.86,2.61,-1.78,1.78,-0.1,-0.28,2.31,17.74421053
4/30/1991,2.84,3.83,3.96,3.94,4.57,4,2.35,4.47,10.03,4.57,6.6,4.24,8.36,10.46,16.11,6.14,2.14,-7.35,-1.39,0.15,-1.46,4.86,3.47,9.01,7.89,6.51,8.25,6.28,4.67,4.57,3.66,2.51,17.37272727
5/31/1991,-4.21,-5.75,-6.37,-4.29,-7.38,-7.54,-2.82,-4.19,-3.24,1.45,-6.58,-4.74,-6.64,-4.69,-2.77,-3.51,7.94,3.56,-3.7,-2.37,-1.49,-5.96,-9.19,-2.9,-5.24,-2.73,-4.4,-7.24,-5.34,-5.63,-4.94,2.53,16.93227273
6/30/1991,5.49,9.1,7.43,4.39,1.9,4.94,3.72,8.51,4.92,10.5,4.77,4.46,1.21,0.37,-1.36,5.78,-2.4,-1.3,5.07,3.99,3.11,4.6,4.15,0.02,5.73,5.66,5.63,1.21,5.75,2.24,4.24,2.7,17.135
7/31/1991,6.35,5.95,6.96,-0.16,2.2,4.38,8.61,2.95,0.76,0.42,2.61,0.79,0.46,2.03,-3.48,2.75,-7.22,3.73,1.61,3.52,0.66,5.44,1.37,1.02,1.48,-1.68,4.94,0.54,4.46,2.53,2.32,2.67,17.29409091
8/31/1991,-3.46,-4.63,-2.07,-0.25,-4.15,0.86,2.76,-0.33,-3.15,4.23,-4.9,-3.33,-2.99,-5.91,-2.33,-0.04,4.08,-0.39,-0.69,3.72,0.37,1.14,-2.13,-1.54,-0.32,-2.07,-4.15,1.96,-0.25,-3.22,-1.59,2.49,15.68136364
9/30/1991,-1.22,2.09,-5.74,2.67,0.36,1.15,-4.37,6.53,1.76,-1.32,-2.45,-0.94,-0.86,0.5,-2.38,3.23,1.75,4.85,2.04,1.25,1.93,6.36,0.13,4.09,7,2.69,-3.12,2.09,2.05,1.04,1.29,2.36,16.9565
10/31/1991,-0.11,3.03,-3.34,-6.93,-4.79,-2.01,-3.53,-2.53,-5.88,-4.75,-4.24,-7.71,-9.16,-5.85,-8.82,-5.91,0.91,-10.97,-7.74,1.9,-4.75,-2.63,-5.01,-6.95,-8.58,-3.9,-0.44,-4.35,-5.22,-2.67,-4.2,2.65,16.36391304
11/30/1991,15.31,15.43,14.9,8.09,12.33,12.1,15.13,16.6,10.29,13.41,16.56,7,8.88,18.11,5.96,9.96,-0.65,0.89,2.15,5.01,9.85,14.24,7.05,9.74,14.3,11.52,13.31,12.68,13.37,13.44,10.85,3.03,17.7735
12/31/1991,-5.45,-3.06,-4.93,11.62,2.4,7.85,3.78,-5.44,1.05,10.1,4.29,3.24,5.93,-1.16,10.69,4.06,7.78,-9.38,-4.11,-4.57,-2.88,2.96,7.35,1.79,-1.11,-1.76,-0.39,10.3,0.8,2.67,-0.59,2.83,18.34761905
1/31/1992,-0.79,1.49,0.24,10.43,5.63,-1.3,2.19,-2.74,2.81,8.25,1.08,7.06,4.7,3.44,14.45,-3.2,-1.11,6.65,-0.58,-1.24,-1.45,2.68,4.45,3,5.11,3.15,2.96,-0.05,2.92,0.4,1.08,3.47,17.68318182
2/29/1992,-2.96,1.38,-3.83,-1.33,-1,-2,-3.95,-5.53,0.74,3.84,-3.81,-1.3,-1.86,-3.09,1.44,-0.83,-8.93,-4.89,-2.71,-0.53,-0.87,-4.39,-4.94,-0.07,-2.41,-0.43,-1.36,-1.39,-0.9,-8.14,-2.65,3.34,17.47736842
3/31/1992,-1.31,1.91,7.86,-1.96,5.04,1.11,-5.26,-2.3,6.3,1.28,0.35,3.69,1.79,-0.03,11.17,2.66,-2.17,-5.46,9.54,2.69,7.1,-3.6,0.2,3.7,2.68,-1.06,-4.61,3,0.95,-0.1,1.09,3.49,17.52045455
4/30/1992,0.8,3.61,0.14,2,-0.15,0.31,-1.35,1.11,-0.88,-1.98,0.52,0.96,-0.55,-0.28,-1.9,-2.19,8.67,-0.34,3.17,2.54,-2.61,1.61,-0.75,-0.89,-0.33,1.57,-0.18,1.08,2.51,-5.02,0.3,3.91,16.56285714
5/31/1992,-0.02,-5.5,-9.28,-3.69,-3.28,-6.42,-5.04,-4.78,-4.68,-7.33,-5.58,1.93,-5.72,1.2,4.54,-4.84,8.9,-9.72,-3.46,0.54,1.49,-5.6,-2.71,-1.28,-3.98,-3.14,-1.78,-2.29,1.21,-4.45,-2.33,3.63,15.077
6/30/1992,5.37,4.55,4.61,1.83,3.07,6.77,5.55,5.79,4.2,7.19,5.11,-0.14,2.73,-0.57,-0.92,2.9,0.06,6.43,5.28,6.73,5.46,3.22,2.67,-1.01,0.83,4.17,4.26,0.52,3.45,5.72,3.78,3.57,15.20318182
7/31/1992,1.9,1.27,-0.21,-2.24,-1.11,-2.89,-1.06,-3.46,-4.81,-1.46,0.04,-9.16,-3.56,-2.81,-11.08,-4.51,-5.04,-1.2,2.56,-0.47,-0.97,-1.77,-5.32,-3.24,-5.95,-2.02,0.11,-2.8,-3.3,-3.05,-2.38,3.54,13.60181818
8/31/1992,2.68,-2.11,1.37,5.62,-0.63,3.39,5.46,-4.86,0.05,2.3,2.91,-0.49,1.56,6.77,-1.77,-2.18,-0.29,13.17,0.07,0.83,1.91,3.8,2.38,0.99,4.14,2.5,4.34,5.88,3.3,4.97,1.19,3.46,14.42190476
9/30/1992,-2.68,2.05,-4.21,4.14,0.82,2.5,0.92,3.34,0.79,0.14,0.89,1.54,-0.53,-1.34,0.27,3.58,-5.79,0.02,-3.52,-0.42,-0.55,6.11,-0.03,2.51,6.01,2.75,4.49,3.74,2.81,1.52,1.02,3.68,13.69666667
10/31/1992,3.63,0.71,1.97,7.78,7.25,4.38,10.49,4.84,2.19,5.73,2.03,7.09,2.89,8.28,8.16,1.31,-6.93,-10.5,-2.69,-0.23,3.88,5.45,6.77,4.16,5.44,6.53,6.97,8.66,6.58,6.8,4.14,3.84,17.63681818
11/30/1992,-0.97,2.89,-2.84,2.48,-0.59,-1.05,-0.95,-1.35,0.95,5.13,-0.26,4.04,1.91,2.53,3.18,8.68,3.64,-0.15,2.01,2.71,5.64,0.51,0.32,-0.27,1.37,2.79,0.22,-0.32,4.6,2.96,1.53,3.68,14.4245
12/31/1992,-3.09,0.86,-5.75,6.24,2.9,2.33,-1.38,-6.87,-2.28,2.53,0.96,6.53,3.56,0.94,9.74,-3.56,-3.12,-3.65,2.79,2.46,1.33,2.89,5.1,0.56,2.85,2.26,-0.27,1.11,3.72,0.68,0.93,3.62,12.19136364
1/31/1993,-2.14,-2.37,-3.17,-4.51,0,3.44,-6.84,-9.01,0.99,3.25,6.12,-0.52,3.48,-2.16,-0.05,1.97,4.47,-1.91,6.04,6.23,5.6,-2.62,0.75,0.54,0.47,-1.62,-1.71,-0.14,0.91,-1.74,0.12,3.49,12.409
2/28/1993,-2.27,2.46,-0.89,4.01,1.19,1.1,4.83,0.73,2.12,2.77,1.65,-0.78,2.47,6.15,6.14,3.48,11.46,-1.9,4.11,1.76,3.35,3,1.51,-1.57,4.09,2.24,2.9,4.01,4.3,0.83,2.32,3.08,13.72157895
3/31/1993,-12.18,-9.18,-15.86,-2.88,-2.18,-5.13,-5.91,1.29,3.34,-4.7,-2.02,-2.21,3.06,-0.22,3.92,1.72,2.65,-4.69,1.12,-0.15,-2.88,-5.04,-2.69,0.21,0.44,-3.65,-9.28,-6.37,-3.78,-3.3,-3.05,3.14,13.60608696
4/30/1993,2.57,3.18,4.79,10.81,2.29,1.4,2.88,3.6,1.69,0.02,1.48,4.24,4.01,2.99,0.42,4.86,6.17,8.19,1.81,-0.04,4.16,6.12,9.23,0.41,2.53,4.91,5.92,7.22,0.4,3.18,2.89,3.14,12.84095238
5/31/1993,-1.69,2.02,-0.27,-1.51,-1.15,1.83,-11.14,-2.98,-4.19,-4.62,-0.45,1.21,1.47,2.83,4.01,1.37,3.13,-4.33,-1.09,3.19,4.64,0.08,-0.48,-1.9,-1.27,-0.37,-3.44,-4.23,3.91,-0.99,0.3,3.1,13.606
6/30/1993,-4.47,0.04,-4.65,-1.41,0.9,-2.13,-4.77,-5.98,1.06,-2.93,-0.26,-2.11,-0.19,2.1,2.51,3.44,6.98,6.95,0.46,1.94,2.14,-3.46,-2.81,-2.54,3.74,1.32,0.12,2.27,2.41,-2.78,-0.34,2.77,12.52409091
7/31/1993,5.75,2.15,-1.28,7.37,3.44,3.7,2.5,3.03,3.28,9.17,5.12,2.88,8.14,0.49,-0.82,3.32,-8.32,5.92,4.28,3.7,5.25,3.86,7.83,2.36,4.33,4.53,3.64,4.84,3.12,6.34,3.72,2.8,11.50047619
8/31/1993,-2.38,-1.5,-3.86,6.63,-1.14,-1.68,-3.54,0.84,-2.36,-3.15,-1.25,-4.39,-1.48,-1.27,0.93,-0.67,-8.8,6.55,1.33,-0.64,-0.48,3.83,-0.05,-2.63,-1.1,-0.79,-0.5,1.4,2.38,-1.42,-0.12,2.44,11.92863636
9/30/1993,8.46,2.11,9.84,2.99,7.17,7.58,6.45,5.93,2.59,2.04,2.74,3.88,3.28,1.35,9.46,0.76,7.4,-0.73,-1.96,-1.97,2.42,2.93,1.19,-0.45,3.23,2.5,4.58,6.62,-3.79,-3.66,1.42,2.48,12.93142857
10/31/1993,0.69,-0.45,5.91,-2.86,0.15,1.42,1.96,0.98,1.17,0.23,2.94,0.72,-2.16,0.22,1.55,1.99,-2.65,-0.3,-5.99,-5.52,-5.96,-2.02,-0.07,6.87,1.56,-1.1,1.63,-0.58,-3.84,-0.57,-1.87,2.4,11.8752381
11/30/1993,-0.02,4.27,-0.94,0.49,3.62,1.76,0.65,2.32,2.97,0.27,1.49,6.74,4.49,6.55,4.43,6.55,12,4.76,0.59,1.61,-0.53,1.06,4.15,3.29,2.11,2.94,-3.93,5.82,2.25,3.06,1.65,2.69,14.08380952
12/31/1993,1.81,-4.95,10.23,4.33,-0.61,2.47,-0.03,1.74,7.96,-6.93,3.38,10.39,6.05,2.18,8.8,2.28,0.91,-3.36,4.89,-1.2,2.17,3.74,4.55,6.55,4.73,2.78,0.14,5.62,4.11,5.61,2.87,2.82,11.35636364
1/31/1994,-2.16,1.63,-7.15,-0.83,-3.04,-1.14,2.92,-5.42,-0.91,0.41,-1.49,-3.07,0.96,-1.52,-4.98,1.91,-0.65,-2.03,-2.96,-4.98,-5.5,0.51,1.6,-1.95,-4.52,-0.87,2.78,1.44,-4.03,-3.77,-2.55,2.74,11.29047619
2/28/1994,-4.26,-3.2,-11.05,-10.03,-4.4,-5.01,-0.44,-6.75,-3.17,-0.69,-5.62,-5.64,-3.37,-4.29,-6.89,-4.21,2.53,-9.93,-3.56,-3.94,-3.61,-4.5,-3.67,-6.27,-6.03,-5.64,-4.35,-8.32,-3.24,-5.3,-4.79,2.79,13.64421053
3/31/1994,0.98,1.82,11.26,-2.67,-1.46,1.63,-1.36,2.25,2.57,2.86,-0.27,-0.94,-1.47,-3.53,-0.07,-0.52,-10.43,-0.38,4.2,2.13,1.59,0.53,-2.43,-0.86,-0.28,-0.52,0.27,1.37,2.51,1.8,0.68,3.29,15.22347826
4/30/1994,-0.74,-2.19,-6.84,1.39,1.12,0.97,-2.18,4.31,3.58,-5.28,0.84,3.49,-2.37,3.05,-1.96,3.13,1.49,-1.77,0.94,-5.36,1.63,4.15,0.63,2.89,-2.01,0.53,-2.54,-0.35,4.36,-1.36,0.58,3.19,16.47105263
5/31/1994,0.8,-4.58,3.11,-4.66,-4.25,-3.23,-2.74,-3.42,-2.65,-5.55,-3.21,0.76,-2.11,-4.93,-3.43,-1.98,-3.1,5.55,-2.72,-3.15,0.62,-4.5,-5.03,-1.89,-2.2,-4.12,-1.62,-6.79,-2.58,-0.84,-3.04,3.01,13.89714286
6/30/1994,2.37,5.51,5.53,2.23,1.94,2.77,3.03,1.1,4.15,-1.4,4.3,7.2,3.94,7.19,4.09,0.19,0.6,-0.79,3.27,5.19,3.1,1.01,5.09,6.2,1.56,2,1.02,-0.42,2.81,2.41,2.82,3.19,13.40863636
7/31/1994,7.37,5.18,9.78,3.16,3.59,7,5.27,10.87,6.1,4.92,4.69,5.44,4.37,0.45,-1.63,4.73,4.85,5.55,-0.11,0.66,1.02,7.9,9.22,5.48,1.93,3.4,4.39,4.17,3.54,4.27,4.02,2.85,12.4845
8/31/1994,0.25,2.52,-2.81,-2.45,-3.06,-1.4,-2.33,1.71,-1.1,-5.7,-2.98,0.32,-3.04,-1.79,-5.53,-5.23,6.05,-0.13,-2.1,-2.79,-1.15,0.58,-0.99,0.55,-6.89,-0.6,-2.53,-3.78,-4.76,-3.48,-2.28,2.63,11.88913043
9/30/1994,2.24,3.75,-2.42,0.58,0.97,1.47,1.64,0.91,0.12,1.24,-0.78,-4.01,3.61,0.87,-1.54,2.04,-9.06,-3.24,7.43,1.59,-0.13,5.47,6.94,-3.28,2.23,-0.06,1.3,4,0.32,1.11,1.35,2.95,13.23333333
10/31/1994,-2.08,0.86,-2.01,-1.61,-2.48,-2.13,-4.19,0.43,-7.38,-2.94,-4.96,-8.63,-7.08,-5.56,-5.03,-2.94,-9.85,-8.34,-4.84,0.28,-5.42,-3,-2.28,-4.45,-4.45,-3.91,-2.47,-5.58,-5.36,-6.14,-4.03,2.78,15.2452381
11/30/1994,1.55,1.9,-2.04,2.55,2.68,0.9,0.95,0.57,3.75,1.12,0.94,4.39,1.87,8.91,4.77,5.24,2.55,5.71,-1.01,0.35,0.86,2.22,2.75,3.59,-0.24,1.65,-4.71,1.3,1.34,2.98,0.86,2.35,16.38380952
12/31/1994,2.32,2.82,4.59,6.08,0.32,2.71,-3.87,6.06,-2.74,-1.17,1.51,-6.37,-0.48,0.93,-6.1,0.13,-6.66,-3.27,0.38,6.22,4.16,-0.92,-0.59,-1.02,3.34,0.94,0.81,6.92,5.63,2.23,1.8,2.31,14.17714286
1/31/1995,1.24,4.87,-1.25,4.02,5.42,3.29,2.72,2.32,5.95,2.53,5.41,3.19,5.48,5.85,4.97,6.16,4.64,-6.51,4.52,0.82,1.51,6.24,6.65,8.3,7.31,5,2.09,3.49,4.91,0.59,3.63,1.77,12.27428571
2/28/1995,3.68,2.44,5.93,4.01,1.27,1.9,1.6,2.77,5.67,-2.84,0.67,2.27,6,-0.25,1.67,7.46,11.83,2.49,5.28,-1.75,0.24,5.02,4.32,2.75,3.19,2.2,4.02,2.22,1.18,3.39,2.19,1.46,11.47
3/31/1995,3.93,3.22,-4.33,1.66,-2.08,3.79,-1.59,3,3.09,0.84,2.55,0.18,4.33,2.93,2.53,3.9,-1.7,-5.84,2.24,2.38,1.62,3.96,9.28,0.89,2.65,3.11,-3.57,2.22,1.79,1.34,2.11,1.5,12.16652174
4/30/1995,3.23,8.38,3.92,2.31,4.05,2.58,0.3,1.63,3.14,3.92,2.2,1.61,3.75,3.08,5.51,5.48,-1.27,1.79,4.08,6.04,0.91,0.36,3.34,2.06,-0.58,2.15,2.8,3.82,6.22,4.65,2.9,1.38,12.44263158
5/31/1995,2.72,-0.09,-0.91,0.93,2.66,-0.21,4.86,4.48,1.34,-1.53,3.76,7.03,2.88,-0.55,1.02,4.92,0.54,2.34,-3.09,-0.46,3.87,7.68,10.15,3.96,4.36,4.46,5.13,2.72,1.77,2.53,2.72,0.67,12.26590909
6/30/1995,-0.84,2.37,-3.6,4.13,3.31,-0.94,7.15,5.47,2.87,4.25,2.81,6.82,8.31,3.67,2.45,6.58,5.95,-0.63,2.3,-0.37,5.07,4.86,8.72,2.14,9.22,3.06,4.09,1.88,4.19,6.13,3.71,0.77,11.89681818
7/31/1995,1.34,-1.61,4.54,-0.15,2.33,0.81,0.77,1.03,-0.36,-1.04,1.05,-0.62,-1.07,0.06,0.3,-1.33,0.64,5.07,-1.6,0.99,4.38,1.31,-0.16,0.82,0.34,-1.17,-3.46,-3.15,5.2,-2.14,0.55,1.03,12.514
8/31/1995,8.21,9.24,2.97,-1.9,2.56,5.39,4.03,7.38,2.76,-3.28,2.41,-4.97,-2.52,6.12,-0.41,5.31,0.13,1.12,1.29,6.3,5.75,2.35,1.29,-0.69,2.78,0.49,3.35,2.66,5.77,-1.65,3.36,0.99,12.79826087
9/30/1995,0.33,3.91,2.84,-3.24,-3.27,2.72,-3.5,1.03,-5.55,-9.32,-1.2,-6.15,-3.43,-0.57,-5.55,-1.92,-9.67,-13.04,-0.23,1.48,0.15,3.62,0.03,-3.15,-1.7,-0.9,-8.14,1.18,-1.92,-4.1,-1.51,0.93,12.057
10/31/1995,3.97,4.81,3.08,2.14,6.66,6.24,0.09,4.93,6.55,7.3,4.73,8.57,4.95,5.63,5.44,8.89,9.28,2.41,4.8,1.58,2.79,2.95,-1.41,6.42,6.22,3,6.92,5.61,6.74,5.49,3.96,0.71,14.35727273
11/30/1995,3.05,-0.78,4.97,-1.72,1.28,-1.89,3.52,5.89,1.98,-0.13,0.27,-1.63,-0.13,6.55,4.48,3.9,1.79,7.13,5.8,5.1,4.12,-1.07,-4.58,0.31,-1.46,1.99,-1.56,0,1.24,0.62,1.04,0.44,12.46904762
12/31/1995,3.34,3.26,1.8,4.72,-0.52,2.66,-3.02,6.05,5.2,-2.98,3.1,4.27,1.93,5.25,3.1,0.66,16.12,-2.48,-0.41,1.86,2.28,1.72,2.11,1.33,-0.18,-0.36,-1.42,6.23,3.83,2.93,2.26,0.62,11.7485
1/31/1996,1.73,5.62,3.26,1.77,2.33,-0.39,3.28,-1.12,2.83,0.49,-1.39,-0.99,3.82,-0.64,1.73,3.12,1.59,3.21,1.03,-2.67,-2.38,4.23,6.93,-1.18,4.15,3.13,5.53,3.8,2.12,1.63,1.33,0.69,13.47363636
2/29/1996,-3.79,1.93,-7.76,1.15,0.29,1.6,10.66,0.21,5.69,2.63,2.07,6.07,1.48,2.97,5.99,3.78,0.05,3.69,5.01,-0.52,-2.01,1.36,-4.55,3.24,3.27,2.54,8.24,0.96,1.02,5.09,0.74,1.24,15.033
3/31/1996,-0.18,-0.91,-1.58,2.42,2.93,3.86,5.58,-0.61,-0.7,3.22,3.38,1.4,3.94,0.63,2.94,1.08,0.54,-0.4,3.47,-2.66,2.88,7.48,10.57,2.55,2.6,5.03,4.39,2.59,-1.05,2.65,2.06,1.34,17.76238095
4/30/1996,5.43,9.68,5.49,2.73,3.41,3.17,7.39,3.91,-0.35,5.36,1.94,-0.34,1.19,6.18,1.52,2.63,3.06,14.54,0.49,1.32,-0.02,3.31,4.32,1.27,-0.42,4.22,5.04,0.37,1.43,3.9,2.36,1.65,16.5752381
5/31/1996,2.24,6.56,3.68,-2.57,-0.67,1.38,0.21,-0.25,-2.39,0.1,0.19,-6.48,-4.24,2.97,-5.26,0.96,-12.02,7.97,0.96,5.27,0.55,-0.79,-6.32,-1.37,-1.42,-4.2,-1.16,-0.53,0.69,-1.21,-1.13,1.81,16.14636364
6/30/1996,-2.38,-5.79,0.18,-11.37,-6.95,-3.28,-5.11,-6.25,-3.04,-3.14,-5.15,-6.69,-8.14,-4.81,-4.29,-1.14,-2.76,-8.18,-4.63,-5.81,-8.49,-7.46,-7.53,-1.57,-7.16,-7.88,-7.69,-7.52,-2.45,-7.16,-5.96,1.69,16.395
7/31/1996,-0.4,2.16,-13.17,0.32,3.5,1.55,5.67,4.31,3.18,4.23,3.06,6.21,4.8,1.7,3.28,4.05,3.15,0.45,2.94,2.89,-1.32,2.85,5.1,3.99,3.56,3.82,7.22,3.76,4.25,5.24,2.77,1.62,17.97863636
8/31/1996,9.28,0.71,1.38,7.58,2.15,6.36,6.39,7.36,6.27,1.4,5.41,2.04,6.1,9.96,-0.67,5.22,-3.82,11.77,3.99,0.68,1.62,8.85,10.66,4.62,1.07,4.88,3.49,0.41,5.83,5.14,5.01,1.81,15.76045455
9/30/1996,1.94,0.81,3.28,-1.56,-0.05,1,-0.59,-0.85,1.51,1.17,1.33,-2.68,-0.63,5.37,4.88,2.56,-1.28,-1.27,5.97,3.61,-0.31,-3.53,-1.23,2.68,2.13,0.13,-2.05,-3.55,5.46,0.47,0.87,1.81,16.578
10/31/1996,5.81,2.7,10.76,8.49,5.79,5.4,0.23,6.61,5.11,0.32,2.91,7.67,8.95,6.91,6.88,4.71,1.93,5.24,5.54,2.6,5.49,6.06,14.01,4.89,6.78,4.86,2.12,3.9,8.38,6.49,6.25,1.34,16.38173913
11/30/1996,-2.29,0.53,9.26,-6.05,-2.26,0.39,1.98,-2.62,-2.07,2.43,1.95,-1.24,-0.92,-2.89,-2.47,4.92,-2.35,11.85,0.77,0.13,2.9,-2.95,-2.42,0.93,-1.32,-0.13,-4.24,-2.97,-1.64,-2.22,-1.7,1.06,15.997
12/31/1996,3.2,11.37,4.59,3.8,0.88,6.73,5.21,9.57,3.78,5.6,6.19,4.48,5.6,4.08,3.53,1.78,-3.8,9.79,4.34,0.92,2.29,5.76,10.36,1.07,2.2,-0.03,0.28,1.76,6.56,7.44,4.96,1.36,19.26095238
1/31/1997,2.72,2.74,12.45,-0.19,2.49,2.81,3.17,0.93,1.07,2.2,-3.37,0.19,-1.97,-0.88,0.23,-1.43,17.11,-2.47,-5.75,-0.57,2.57,-4.99,-8.16,4.42,-1.13,-0.84,5.74,-2.84,3.93,-4.71,-0.48,1.51,19.47333333
2/28/1997,-1.3,-6.53,-13.61,-3.21,0.7,-6.25,-4.95,-7.48,-2.17,-2.22,-5.31,-4.36,-1.77,-2.98,-4.05,-0.99,-11.43,-4.78,5.26,-2.79,-7.83,-5.97,-5.22,-4.36,-0.13,-6.73,-0.74,1.2,-6.53,-4.27,-5.02,1.47,20.13947368
3/31/1997,3.7,11.39,3.21,3.48,-0.9,8.73,-2.7,6.07,3.31,-5.05,7.25,0.81,3.9,9.86,4.29,1.13,-6.75,4.79,0.02,-1.39,2.49,9.18,6.02,3.63,5.72,0.38,1.64,5.9,6.02,0.69,4.04,1.71,20.17
4/30/1997,2.55,6.42,9.99,4.97,7.02,8.04,5.95,7.01,4.54,5.55,6.64,8.74,11.85,9.08,6.08,7,7.28,-3.57,7.34,3.63,6.56,10.09,10.21,7.81,6.17,8.73,6.4,1.08,5.67,8.12,6.73,1.58,19.66227273
5/31/1997,6.94,0.06,2.65,1.29,6.04,4.15,4.5,8.87,6.14,0.61,5.53,3.52,6.9,6.62,3.06,3.81,1.21,1.03,1.28,3.14,3.46,3.4,0.93,3.13,2.27,1.72,6.71,1.11,6,4.44,4.1,1.85,19.9247619
